,0
0,"и клали в них сломанные иглы, пустые тюрички (3), выпрашивая за"
1,"голове, будто подушечка, утыканная швейными иглами."
2,этих несчастных заразилось через героиновую иглу.
3,И длинная игла с широким ушком.
4,второе и последнее: с помощью иглы и той же бечевки скрепляем
5,"СОВЕТ: подцепляйте иглой каждый раз не растения, а"
6,"им премий («Золотой наперсток», «Золотая игла», «Бриллиантовые ножницы») больше всего Кристиан"
7,Комариный хоботок заменит иглу
8,"нем — железный кипятильник сундучком, шприцы, иглы, бинты, вата, йод во флакончике"
9,"мерцание витрин, красные огни на иглах высоток; в прерывистом и нервном"
10,"Зачем мне вечная игла для примуса, если я не"
11,лицо наподобие тонкой и злой иглы…
12,"В первый раз ожидание этой иглы было довольно коротким, она вонзилась"
13,или боль в сердце вошла иглой — вот он и пережидал уже
14,"входят: молоток, отвертка, киянка, клещи, иглы обойные прямые и изогнутые, ножницы"
15,"рассчитать длину стежка, чтобы прокол иглы оказался напротив угла сиденья."
16,"Борт сиденья прошивают, прокалывая настил иглой под углом 45° (рис. 22"
17,"Для этого используют кривую иглу и длинный шпагат, который не"
18,"тканями, насквозь с помощью двухконцевой иглы сначала вдоль борта на расстоянии"
19,"ее, тускло поблескивая, наполняли серебряные иглы, коротенькие и толстые."
20,"с тем, желая обнаружить «непевучую» иглу."
21,"их орудия труда), — головка с иглой, пощелкав по самому сердцу, извлекала"
22,комнате в преддверьи ножниц и иглы.
23,"в складках и ускользали, и игла вонзалась далеко от намеченного места"
24,"Натянул ботинки, вытряхнув сосновые иглы."
25,"и шипя, быстро вертелась под иглой Вера Васильевна; шипение, треск и"
26,"перевернув ее на спину, устанавливал иглу, прищуриваясь на черносливовые отблески колыхающегося"
27,"табуретка, ящик вместо стола, колодки, иглы, кусок вара, клубок дратвы, — а"
28,"и мягкая от желтых сосновых игл, на Рахили тонкое короткое платье"
29,"родственная сапожной, разница только в игле: шов сапожника должен быть плотный"
30,"будто не пером, а остриём иглы, выписывал на крохотном листике, утонувшем"
31,"в табачном сарае бросить низальную иглу, полную табачных листьев и похожую"
32,"сказала докторша, хищно высосав лекарство иглой и теперь держа эту иглу"
33,"иглой и теперь держа эту иглу острием кверху, чтобы лекарство не"
34,"не улыбнулся, все смотрели на иглу."
35,не отрываясь смотрел на докторскую иглу.
36,"глаза, полуопущенные ресницы, длинные льдистые иглы воротника, душистые перчатки и тот"
37,"самом деле, всем — лакированными багровыми иглами, перламутровыми сережками (точь-в-точь морские ракушки"
38,"Наша смерть в игле, — сказал он, — а игла в"
39,"в игле, — сказал он, — а игла в яйце, а яйцо в"
40,темноте подсвеченная прожектором белая каменная игла — обелиск в память павших десантников.
41,"камера, где говорили шепотом, где иглой при шитье служили спички и"
42,"если случались художники, их заставляли иглой расписывать по кресту узоры на"
43,"Заготовка шла вручную, зеленые сухие иглы щипали, как перья у дичи"
44,"начиная с вершины ветки, обдирал иглы вместе с корой."
45,"Я драл иглы, ломал целые ветки на куски"
46,"На вопросы при уколах иглы, при постукивании резиновым молоточком, при"
47,"правую руку шприц, фельдшер проколол иглой вену близ локтевого сгиба."
48,Темная кровь хлынула из иглы внутрь шприца.
49,"облако его мыслей вошла пронзительная игла — страх солдата в пути, — не"
50,"с узенькими погончиками кивнул, обтирая иглу шприца, и следователь говорил:"
51,Под беглой иглой цыгана она расцветала всеми цветами
52,Тщательная работа иглами в несколько цветов.
53,"потом вернулось, но с тупой иглой, засевшей в нем."
54,"исчез, а заодно и тупая игла выскочила из сердца."
55,чью шею сейчас колет кривыми иглами профессор?
56,воспользовался этим моментом и вколол иглу в руку Ивану.
57,"Острая боль, как от иглы, вдруг пронзила правую руку Маргариты"
58,"и память мастера, беспокойная, исколотая иглами память стала потухать."
59,"Я покажу, как живет, как игла, ведущая название за собой, нить"
60,Вот игла и нить.
61,"его стола, я нашел там иглу от шприца и обрывок газеты"
62,"На кончиках зеленых сосновых игол — росины, в росинах розовые и"
63,"она пахнет чем-нибудь особенным — зелеными иглами, морской птицей — тянут на запах"
64,Адмиралтейская игла…
65,"худая, изможденная швея, ковырявшая что-то иглою."
66,"тонкие, сохранившие следы длинных кристаллических игол, ломавшихся и звеневших, как тонкий"
67,"крошила лед в куски, в иглы, в снег, но затем опять"
68,"готов ли поросенок, надо пробовать иглой: если она проходит свободно — значит"
69,прошлогоднего палого листа и осыпавшихся игл сосны и ели.
70,"огонь пробежал по мне жгучими иглами, я нагнулся и приник к"
71,"нельзя: дело совсем гнилое, тронешь иглой — а вот уж оно и"
72,"уже становится пихта, точная ель, иглою мягче, кора похожа на осиновую"
73,"имели они кровавые и утыканные иглами бичи, которыми били немилосердо прекрасную"
74,дело с морскими коньками и иглами: у этих рыб самки выметывают
75,С помощью иглы поместить несколько набухших горошин между
76,Кистью или иглой нанести на стебелек проросшего гороха
77,"Утилизация отходов (трупы животных, шприцы, иглы)."
78,"Утилизация отходов (трупы животных, шприцы, иглы)."
79,"Утилизация отходов (трупы животных, шприцы, иглы)."
80,"Утилизация отходов (трупы животных, шприцы, иглы)."
81,"адекватным обезболиванием при использовании тонкой иглы, которая практически не травмирует пациента"
82,"инъекционный шприц и очень тонкие иглы (до 1,2 мм в диаметре)."
83,"При этом используются специальные иглы (1,2-2,0 мм в диаметре"
84,патологического очага находится внутри пункционной иглы и не соприкасается с окружающими
85,высочайшим: он вводил препарат тонкой иглой непосредственно в глазное яблоко.
86,"Песчинки кололи, как иглы, и летели сплошным потоком, забиваясь"
87,"во все стороны, как вставные иглы»."
88,этого вида служит фиолетовый цвет игл.
89,"представляете мрачного колдуна, который протыкает иглами кукол, изображающих его врагов, насылает"
90,"что инсулин вводят подкожно, вогнал иглу чуть не до кости."
91,"отдающий смолой, 
 Проколовший меня смертоносной иглой!"
92,Укол смертоносной иглы.
93,"металлического цинка действительно похожи на иглы), но это только предположение."
94,"кружочками с торчавшей по центру иглой, блестели по всему скату и"
95,"и, рассыпавшись на тысячи расплавленных игл, дырявило все на своем пути"
