,0
0,"принято, поэтому не улица, а каток!"
1,"Тяжелый ящик, установленный на одинаковых катках, двигают влево (рис. 4. 3)."
2,В воскресенье на олимпийском катке в Хамаре (Норвегия) завершился чемпионат
3,"и аркадиями все отправляются на каток хохотать, представляются строительским маме с"
4,имеется неприятный опыт выступлений на катке в Солт-Лейке…
5,оказавшийся на пути у беспощадного катка цивилизации?
6,один вид традиционного зимнего отдыха — каток.
7,"ровной ледяной корочкой как на катке, неожиданно чувствовал, что и без"
8,"чудо уберегло его от этого катка и заставило трубу остановиться, но"
9,"не водил своего сына на каток, не ходил с ним каждое"
10,проезжая мимо стоявшего у дверцы катка молодого мужчины в спортивном костюме
11,"падежами: «Пол скользкий, как на каток», «Я его взял на плечо"
12,"с краю Чистопрудного бульвара, возле катка, где гремела музыка и по"
13,мы встречались с синеглазкой возле катка у десятого дерева с краю
14,Там еще подрабатывал каток.
15,"на парня, на асфальтоукладчик и каток. — Молодцы!»"
16,"холмы растекались по равнине, распрямленные катком огромных времен."
17,"дорожники заканчивали асфальтирование дорожки — из-под катков шел серый горячий дым, смешивался"
18,Словно шоссейным катком из конца в конец укатанное
19,"Я… была на катке, что на Бассейной, с сестрой"
20,Прекрасный на Бассейной каток.
21,"Это тем более странно, что каток ведь крошечный, — все как на"
22,Шемшурина была с тобой на катке.
23,Шемшурина была с вами на катке?
24,"Или, может, я была на катке вчера."
25,Вы сегодня были на катке? — спросил я равнодушно.
26,чего вы солгали мужу о катке?
27,"ведущих колес, опорных и поддерживающих катков и их подшипников."
28,"горячий асфальт, распластываясь под чугунными катками и ложась на мостовую."
29,стесненных обстоятельствах: из-за жесткого репрессивного катка 1930-х гг. местная епископская кафедра
30,"установлена сцена, а зимой заливали каток."
31,"зимы, как только здесь залили каток»."
32,"еще замерзал, на нем устраивали каток."
33,во время большой перемены на катке во дворе училища школьники в
34,по зеркальной поверхности хорошо содержавшегося катка.
35,Каток ВИ выгораживал и расчищал себе
36,"всякую галиматью про Париж, пражские катки и поездки по Рейну — сам"
37,"сущий рай: здесь были и каток, где Ленин упражнялся зимой по"
38,"есть два пути — либо на каток на Куйбышева, самой большой площади"
39,в оазисы мирной жизни с катками и кондитерскими фабриками в Сахаре
40,"чтобы не вляпаться в какой-нибудь каток, центр современного искусства или трехзвездочную"
41,"Петров отвлекся на открытую калитку катка, который сначала казался просто длинным"
42,"уже погасли фонари, а возле катка фонарь еще почему-то горел."
43,"За катком стояла снежная горка, с нее"
44,"разделах очень заметно, когда критическим катком как бы уравнивается такая вопиющая"
45,Звенит детским смехом каток на Черном озере.
46,"приручён, и возле Благородного собрания каток залили."
47,В тот день на катке Хвола открыла мне тайну.
48,"береговыми посадками солнце летело, как каток в блоке."
49,Чтоб тебя каток…
50,Под каток неправедных репрессий попали офицеры Красной
51,"Elstaro», расхаживая по территории главного катка Москвы."
52,зубоскалю с одним из работников катка и с первого раза отгадываю
53,"Поутру опять подморозит, и будет каток."
54,"пируэты
В одиночку на старом катке."
55,"Собирать по земле облака, 
 На катке дивный вечер из детства
Сохраняет"
56,на одиноком фигуристе в центре катка.
57,"со стихами Хармса, и на катке вот тоже Хармс."
58,"ногами в хоккей на старом катке возле школы, шайбой им служила"
59,"молодым людям, гоняющим бутылку по катку."
60,"чего тут делаешь, около асфальтного катка, Геннадий Арсеньевич?"
61,"ставят карусель, а зимой заливают каток."
62,"Вот и хорошо, зальют каток, и каждое воскресенье я буду"
63,"того, чтобы быть примадонной на катке в городском парке."
64,что две примадонны на одном катке не уживутся.
65,Сегодня я не пошла на каток.
66,"тренировки в дореволюционном Петербурге на катке Прудки, располагавшемся «на месте теперешнего"
67,"Государственный каток утюжит все живое, приближается окончательный"
68,"Кроме того, губернатор попал под каток «Общероссийского народного фронта»  (ОНФ), доложившего"
69,"там парк, клуб, кино; зимой — каток, настоящий, с музыкой (у Сони"
70,"2. дымарь, стамеску, каток для наващивания, нож (можно подобрать"
71,"нужно было продвигать посуху, на катках-подкладках."
72,"Казалось бы — ничего особенного: каток с деловито снующими отдыхающими, вход"
73,"Как человек, попавший под репрессивный каток, сумел сохранить человеческое достоинство и"
74,"в свободный вечер пойти на каток, сидит и думает, как бы"
75,"организации специального пространства, проще говоря, катков, времяпрепровождение на которых невольно носило"
76,век прокатился по Украине страшным катком.
77,"Оказавшись на катке, Настя с благодарностью вспомнила Дзюбу"
78,"горожане выбиты из колеи, раздавлены катком сентября и нескоро оклемаются."
79,"низко, иногда даже задевая верхушку катком шасси."
80,"Например, в «Вегасе» размещены каток площадью более 700 кв. м"
81,"Протичем:  “Политика — это как паровой каток, укатывающий дорогу."
82,"искусственным покрытием, ведется строительство крытого катка с искусственным льдом и баскетбольного"
83,"Сходить можно на каток «Казань Арена», там елка большая"
84,"елка большая, вокруг неё огромный каток, ну и почему-то все любят"
85,"для роликов и великов, зимой — каток."
86,"как будто бы это бронированные катки, а это цветы»."
87,Все катком было отутюжено.
88,"По сути, налоговый каток социалистов пройдется в первую очередь"
89,"фонарем ярко-оранжевый, как лед на катке, и вдали, над верхушками деревьев"
90,"библиотекой асфальт кладут: рев, чад, катки ездят, таджики в оранжевых жилетах"
91,"милую Юльку куда-нибудь, например, на каток."
92,двинулись на уличный огромный загородный каток.
93,"На катке возникли проблемы, на катке, оказалось"
94,"На катке возникли проблемы, на катке, оказалось, коньки выдавали только по"
95,"а покатили по обычному загородному катку вокруг зеленой елки, не быстро"
96,"и я вдруг заметил, что каток некрытый, я вдруг заметил, что"
97,"Можно просто отправиться на каток и опять оказаться вместе, смеяться"
98,"бильярдная, детский сад, футбольное поле, каток и теннисные корты."
99,Колей Миненковым возвращались домой с катка «Трудовые резервы».
100,"загородный дом, водила их на каток и в лес на лыжах"
101,и вовсе не съехать с катка.
102,"ходила вместе со мной на каток, расположенный на Петровке, 26, и"
103,"Дон», а с другой — второй каток Отечественной войны, с предательством в"
104,но ещё не обратили в каток.
105,"И до катка, и по катку."
106,"И до катка, и по катку."
107,"Нам тот каток было видно из окна, мы"
108,"Кроме нас еще асфальтовый каток, стройвагончик."
109,"Дома его ждал каток-асфальтоукладчик, тяжёлый танк КВ-2"
110,потемках около того же самого катка принял меня за офицера: я
111,"Даже на каток, например."
112,На каток я лучше с папой пойду
113,Власти Сеула несколько раз закрывали каток у здания муниципалитета в связи
114,времена создания произведения трактовались как «каток жизни» — полное опасности скольжение за
115,"лишь эпидемия бубонной чумы, страшным катком прокатившаяся по странам Европы, вернула"
116,своим мячом и попал под каток.
117,"во время зимних каникул, на катке, резко затормозив возле него, не"
118,начале навечно врос в землю каток.
119,"Мимо катка, который так и не выполнил"
120,И к катку нельзя подходить — Рекс укусит.
121,"что ее бросили вместе с катком, и она ждала, когда ее"
122,детской площадки и добежала до катка.
123,"зимой посреди площади заливается искусственный каток, на фоне которого восхитительно бредово"
124,Летом на месте катка ставят пряничного вида карусель.
125,желании можно было по ней катком проехаться и даже защититься от
126,"То на катке в Царском Селе, где под"
127,к нынешнему Чкаловскому проспекту на каток (его заливали на месте станции
128,"березы, футбольное поле, оно же каток зимой, ландыши и хозяин Гоша"
129,"года назад в Брюсселе на катке, и с тех пор их"
130,"Франсуазе, с которой познакомился на катке."
131,"свежего дымящегося асфальта, а дорожные катки ровняли его, но весь этот"
132,прудах опять будет нормальный бесплатный каток с елочкой.
133,"2 из них можно исправить катком, то как быть с дорогами"
134,на территории парка будет работать каток.
135,придется развлекаться самому: кататься на катке в Кунгстрэдгордене с видом на
136,Каток/Rink.
137,"заросшем Кунгстрэдгордене (Kungsträdgården) зимой устраивают каток, летом — уличные концерты: любимей места"
138,"этой зимой водил меня на каток, то сказал по секрету, что"
139,"Но переубедить асфальтовый каток, в который он врезался, не"
140,"Выглядит как человек, попавший под каток, и чудом спасшийся."
141,"сейчас, осталась только ровная как каток гладь времени, велика ли разница"
142,"А потом надо зарисовать, как каток репрессивного угнетения ломает молодую поросль"
143,зимой Кира позвала меня на каток.
144,"злой, потому что мне на каток хотелось, а не про дурацкий"
145,построить самый большой в Европе каток; на месте аттракционов — парковку.
146,Если сплавят — не пойду на каток.
147,"1990-х гг., когда был закрыт каток на «Динамо»."
148,"с кровать, а кровать с каток примерно величиной; я жила с"
149,"втискивался, пытаясь не рухнуть на катке."
150,"посмотрел на детей на крытом катке, пофотографировался с народом и пожурил"
151,достаточно было превратить бочку в каток.
152,названо «Hippo Water Roller»  (водяной каток «гиппопотам»).
153,"Неожиданно выяснилось, что у такого катка есть иное полезное качество."
154,"Оказалось, что водяной каток способен защитить человека при случайном"
155,вызвать куски пластмассы от бочки-катка и осколки мины.
156,"Но такого, чтобы стадион, спортбаза, каток или бассейн был сдан под"
157,"Кстати, обслуживают каток в Нагано всего 40 человек"
158,многочисленные мировые и олимпийские рекорды катка.
159,в должности главного инженера высокогорного катка «Медео».
160,"Высокогорный каток — это мечта конькобежцев, кузница рекордов."
161,Каток не пустовал ни днем ни
162,"в Хатыни соотечественниках, а о «катке безбожной власти» — советском, разумеется."
163,"успешно, как это делает асфальтовый каток), — меврау ван Риддердейк воспитывала детей"
164,"медлительная и неодолимая, как асфальтовый каток, облегчит его боль пусть кратковременно"
165,"простыла на ветру, катаясь на катке в нашем парке."
166,когда маленький предприниматель попадает под каток.
167,"отдельной реплики, ср. Пойдешь на каток?"
168,"на пруд, на опустевший уже каток, на стелящийся отраженными пятнами лед"
169,то провинциальному российскому журналисту от «катка» деваться некуда.
170,"На дискотеку, каток, на роликах, велосипеде или еще"
171,"ударил мороз, и дороги стали катком."
172,"Ласты, катки, загребалы — огромные «джиперские» колёса для"
173,"из баскетбольных площадок превратится в каток, который будет использоваться для соревнований"
174,"Там уже работает каток, а ГУМ сверкает тысячами ярких"
175,"жилищ и лодок, на создание катков для перемещения гигантских каменных статуй."
176,"Без катков, которые прежде делали из пальмовых"
177,"пляжные вечеринки, а зимой заливать каток, а в закрытых помещениях проводить"
178,"кинотеатром, рестораном, баней, спортплощадкой, бассейном, катком, гостиницей, библиотекой или аквариумом."
179,"бы еще — попал под дорожный каток, что, учитывая степень ранений профессора"
180,"же покорёжен, как попавшая под каток консервная банка, сбивать его уже"
181,"Благородном и Коммерческом собраниях, на катке, в музыкальной раковине в Липках"
182,А зимой — каток.
183,это уже высокий класс для катка.
184,"Здесь гораздо интереснее, чем на катке в центре на Петровке (старинный"
185,"в центре на Петровке (старинный каток), да и к дому близко"
186,"на глазах: коробка обзавелась трансмиссией, катками и гусеницами, настал черед двигателю"
187,"собой облака газов, немилосердно грохоча катками, он неумолимо приближался к настоящей"
188,грунт дотошные немецкие механики расположили катки двумя рядами.
189,"не проваливался от собственной тяжести, катки на нем расположили в шахматном"
190,подкалиберный» в борт между опорными катками (за ним размещалась боеукладка «Тигра
191,"по ведущему колесу, по опорному катку или гусенице."
192,"Кроме того, между катками должна забиваться грязь."
193,"передач, воздушный сверхмощный фильтр, и катки с усиленными резиновыми бандажами."
194,ловил приготовленные к монтажу танковые катки.
195,34» и лязг его великанских катков.
196,"счет тех, по кому тяжелым катком прошли рыночные реформы, и тех"
197,"по которым он прошелся железным катком своего сарказма: В. Аксенов, Е"
198,"Маша еще вчера катком прошла по теплице, вычистив все"
199,"Например, паровой каток, представляющий собой уменьшенную модель классического"
200,"актуально, но в мире, раскатанном катком революции, — иерархия отсутствует."
201,Сейчас бы асфальтовым катком… перевести бы эту амебу в
202,"великие люди, попавшие под чудовищный каток системы, а потому, что по-иному"
203,"на солнце и расплющивают деревянными катками, а когда они полностью высохнут"
204,Эти катки стали прообразом колёс.
205,"нашей эры вначале просто насадили каток на неподвижную ось, затем стали"
206,бы под ногами был просто каток…
207,"у меня было ощущение, будто каток прокатился по Беларуси."
208,"вращаться в одну сторону, а каток вместе со всем земным шаром"
209,критика аккурат только что своим катком впечатала в асфальт аксеновскую невинную
210,"Сергеев Артем (проступает зима, закрытый каток для аристократов по адресу: Петровка"
211,"и слушали про старину: закрытый каток на Петровке, женихи качали над"
212,"мог угнаться за ним на катке, а в мае он умер."
213,считала — это последствие падения на катке.
214,"Обзилер, а в воскресенье словно катком проехалась по Шахар Пеер."
215,"дышащее разогретой резиной колесо, словно каток, проехало по нему."
216,"сопло с генератором ставят на катки, движущиеся по кольцевым направляющим."
217,Укатал катком!..
218,"Под ней я обнаружил каток от немецкого танка, с клеймом"
219,"Зимние каникулы разливали морозную гладь катка, или начиналась игра в снежки"
220,"Потом — злой каток, барабан, шестерня, переезжающая нас своим"
221,"утюгом гладь, хоть под асфальтовый каток клади, видно: самое главное шеф"
222,"держава или, еще точней, сверхдержава катком раздавила и всмятку расплющила и"
223,"топорна, как трактор, как асфальтовый каток."
224,"схватив клюшку, коньки, мчался на каток, и после катка, когда долго"
225,"мчался на каток, и после катка, когда долго ждал автобуса, и"
226,"также предметы, которые мать называет катком и вальком, а Дементий Порфирьевич"
227,"словно по бедняге проехал большой каток и расплющил его, превратив в"
228,"Зимой заливали каток, и мы, уже школьники, ходили"
229,"уже вовсю строятся спортшколы и катки с искусственным льдом, в США"
230,по нему неоднократно проходились асфальтовым катком.
231,"Стась Куликов шел как асфальтовый каток, подминая под себя все живое."
232,"И речка, ток смирив, каток
Даёт — кружок."
233,"а не попали под «паровой каток», …"
234,Встала всеми восемью катками на почти горизонтальную поверхность.
235,В дорожном положении катки чуть приподняты и ТМВ едет
236,"рельсы, машина заезжает на полотно, катки опускаются, и она поднимается на"
237,"каток, м?"
238,а ты когда на каток собираешься?
239,"можно, наверное, в выходные на каток"
240,а на каток в вскр пойдешь со мной?
241,"чем пойти со мной на каток, а? ну ты даже не"
242,"захоронения воинов в Химках под каток пустили, но при этом на"
243,"Остальных, не поддавшихся гипнозу, укатывали катком истории."
244,"показы киноклассики, а зимой заливают каток."
245,охлаждением самый известный в городе каток.
246,когда в декабре над этим катком с большой помпой устанавливается главная
247,Каток в Рокфеллер-центре
248,От Прометея и катка в сторону Пятой авеню ведет
249,"для отдыха: тенистые аллеи, озера, катки, маленькие и большие лужайки, ресторанчики"
250,"К западу от пруда расположен каток (Wollman Memorial Rink), а к"
251,Каток
252,"Энцелад залит льдом, как бескрайний каток."
253,"Все оказалось дорого, а рекламируемый каток — маленьким."
254,"которой будущий писатель катался на катке, вышла замуж за сиамского принца"
255,"держится, специально закрепленный на особых катках."
256,которое кто-то словно разровнял гигантским катком.
257,"классической музыки, а зимой заливают каток."
258,задней части штангу с каплевидным катком.
259,чертила унылые одинокие круги по катку на Патриарших прудах.
