,0
0,"Вам этот Прохоров, прямо как кость в горле!"
1,не будет легко отделяться от костей.
2,На дно кастрюли положить рубленные кости и виноградные листья.
3,Удалить все мелкие кости.
4,"куриных грудок без кожи и костей, 500 г куриных ножек без"
5,"нарезанный лук-порей, 1 кг телячьих костей из шейной или реберной части"
6,Добавить телячьи и куриные кости.
7,"20 минут, часто помешивая, пока кости не станут равномерно коричневыми со"
8,Овощи и кости начнут крамелизоваться и приобретать оранжево-коричневый
9,Вынуть как можно больше костей.
10,"лопаточная часть или грудинка) без костей, 100 г шпига, 100-150"
11,"Зрение, кости, мышцы, пищеворение, психика."
12,что там не учитывается тонкие кости или широкие.
13,1 кг бараньей лопатки без кости
14,"женщина находит только чисто обглоданную кость — все, что осталось от окорока."
15,"и автор рассказа трактует эту кость как послание, исполненное некоего морального"
16,в черепах и холодок в костях.
17,бескорыстного обитателя «башни из слоновой кости» другой метафорический образ — ученого как
18,круге ада неустанно грызет его кости.
19,клей для соединения частей сломанной кости;
20,"дроби попал в плечо, перебив кость и артерию."
21,"внимание Захи Хавасс, это тазовые кости мумии."
22,а российское вполне позволяет вывоз костей и кожи животных для научного
23,кривых ног и плохого роста костей.
24,"Удалите из баранины кости, нашпигуйте ее салом, перевяжите, натрите"
25,"порезанным луком-шиитом, выложите мясо и кости на противень и запекайте примерно"
26,"чтобы сохранить его горячим, а кости вместе с соком со сковородки"
27,и готическими распятиями из слоновой кости.
28,играющий ночью с возлюбленной в кости» (1770-е гг.)
29,"добрую половину сборника, где на костях советских композиторов пляшут разного рода"
30,"Святая простота, доходящая до треска костей неуступчивость, комбинации в духе «Гивен"
31,цвета горячего шоколада и слоновой кости.
32,"Ты стоишь на костях своих товарищей, труд которых ты"
33,"Окружающие подыгрывали, аплодировали, перемывали кости, очень преуспевая в последнем."
34,До мозга костей.
35,Циферблат благородного цвета слоновой кости четко оцифрован.
36,"часто жалуются на ушибы пяточных костей и растяжения связок, хотя для"
37,"Кости уже соприкасаются, через пол года"
38,Она говорит — там кость.
39,"причастности к особой касте ложились костьми, чтобы оправдать оказанное доверие и"
40,"вену, скользнула по окружности тазовой кости и ударила в крестец, раздробив"
41,тот же похожий на обглоданную кость прилавок.
42,холод проник до самого мозга костей.
43,Москвы — устроили обзорную экскурсию для Кости.
44,А у Кости это решение вызывает неподдельное возмущение
45,шанс… вроде лотереи… или как кости бросают…
46,Баба до мозга костей…
47,добродушных собак две большие обглоданные кости.
48,"еще одну тащи, вот чего… кости бросать некуда."
49,"Что за мысли ворочаются за костями этих черепов, какие страсти кипят"
50,"Есть семейные артели резцов по кости на Крайнем Севере, на Урале"
51,"дерево легких и, наконец, обнажались кости, окрашенные в темно-желтый цвет и"
52,"отцовском кабинете, восхищаясь изумительными сочленениями костей, обеспечивающими многоступенчатый процесс пронации — супинации"
53,"выпуклого крестца, — Os sacrum, сакральная кость… почему, кстати, сакральная именно эта"
54,"в детский ноготок, пластинку черепной кости, чтобы не повредить нежное белое"
55,"вслушивался ступнями, берцовыми и бедренными костями, тридцатью двумя позвонками-проводниками и"
56,"него сладко заныло в середине костей, словно костный мозг радостно отзывался…"
57,"Первое, что он заметил, были кости его собственной плюсны, все двадцать"
58,сочленения между Os metatarsi и костью большого пальца.
59,"большой палец чуть не до кости, прежде чем научилась доводить изделие"
60,"малого таза, опасность расхождения тазовых костей…"
61,"кимоно упал, и обнажилась сухая кость, которая, если верить Иезекиилю, должна"
62,у него в бороде рыбью кость и дразнил тем шкелетом.
63,"ложкой в котле, поплевался рыбьими костями и отвалился под бревно на"
64,"что твои колючки ершовые да кости сорожьи, которых ты, брехун, будто"
65,"и старики, приехавшие погреть свои кости в целебных источниках."
66,Олег — человек искусства до мозга костей.
67,"причиняемой, уши ловили уже хруст костей, треск разрыва хряща у позвоночника."
