,0
0,"пене морей, / Всех чудес на свете милей /Ты — убежище муки моей"
1,"тем, кто уже ездил по свету, общался с людьми, видел своими"
2,понятно что [в] не правильном свете видят ее окружающие… «Ну что
3,"фильмы, фильмы, которые насквозь пропитаны светом, любовью, юмором и добром."
4,"живут» — и вселяют частичку своего света в сердца, я надеюсь, еще"
5,"требующий рационального объяснения всему на свете, считал вкус делом врожденным, соответствующим"
6,"опять — пустой зал, горит верхний свет."
7,"стал жестче, руки смелей, но свет потух в твоих глазах»."
8,"лежит там-то, тогда-то выключат свет и т д… я-то"
9,"интересно разговаривать обо всем на свете: о новостях, о качествах других"
10,"справа так дерево стоит, и свет так падает, и запах мокрой"
11,что вы больше всего на свете не хотите идти ни на
12,"Берет микрофон, включается цветной эстрадный свет, и рассказчик изображает, что поет"
13,результате данного ОЕМ-соглашения на свет появились первые модели серии StorEdge
14,"после предварительного освещения образца F-светом, в окрашенных гамма-облучением пластически деформированных"
15,и самый новый компьютер на свете.
16,В свете новых вызовов и угроз сессия
17,"поле которых столь сильно, что свет не может вырваться из них"
18,"вторая космическая скорость равна скорости света в вакууме, то есть 300000"
19,"M — масса объекта, c — скорость света, G= 6."
20,скоростями около 0. 92 скорости света и видимыми сверхсветовыми движениями облаков
21,"десятка микроквазаров, изучение которых проливает свет на природу активности галактических ядер."
22,"стандартам, соответствующим коммунистическому обустройству жизни: свет, чистота, экономичность использования пространства [16]."
23,что в случае поперечной поляризации света для спектральной зависимости сечения фотоионизации
24,туда… трепаться обо всем на свете: ((((.. смысла никакого вообще: (((.
25,"Свет, а дорого это сколько?"
26,в самую чувственную женщину на свете; -)
27,Широкоапертурный катодолюминесцентный источник света на основе открытого разряда
28,Обсуждается возможность создания эффективного источника света большой яркости с использованием открытого
29,является перспективным для создания источников света большой апертуры.
30,"является очень перспективным, особенно в свете имеющегося мирового опыта."
31,был самый эксцентричный партнер на свете.
32,было слово» и «Да будет свет» (Л. Галумова) «Земля» (Н. Зверева
33,"крупных имен семидесятых и в свете того авторитета, коим советское кино"
34,"толпы», не принадлежащие к высшему свету."
35,12 часов на четыре стороны света раздается с башни горн трубача.
36,"Сквозь стеклянную крышу вливаются потоки света, свет струится через стрельчатые, готические"
37,"стеклянную крышу вливаются потоки света, свет струится через стрельчатые, готические окна"
38,"целой картине с позиции перспективы, света, его ракурса по отношению к"
39,одинаковых рисунка при разных источниках света выглядят по-разному.
40,"Если свет падает на длинные лепестки, значит"
41,как на него падает больше света.
42,"чем N 1, так как свет идет по касательной."
43,"место по отношению к точке света — значит, одни цветки будут совсем"
44,"Вот на нем засияли утренним светом окна, и мы ощущаем радость"
45,"чайки, на которое направлен лунный свет — так в треплевском спектакле этот"
46,"Свет, скажи честно, ты ЭТО делаешь"
47,GE Global Research способен излучать свет и изменять свои свойства под
48,изменять свои свойства под воздействием света.
49,обеспечило полимерам победное шествие по свету.
50,"старайтесь улицу переходить на зеленый свет, чтобы не дать повод применить"
51,микроскопическом изучении шлифов в проходящем свете.
52,Под микроскопом в проходящем свете зерна диопсида бесцветны и имеют
53,В проходящем свете такой гроссуляр часто обнаруживает заметное
54,вариаций силы двупреломления в поляризованном свете проявляется их зональное и (или
55,"В поляризованном свете этот минерал, как правило, проявляет"
56,В ультрафиолетовом свете баженовский арагонит обладает интенсивной люминесценцией
57,"идеей, высказанной на другом конце света, и быть отточенной на оселке"
58,"Татьяну «темное царство» и «луч света в нем», «народную войну» и"
59,"по Ираку, которая даст «зеленый свет» совместным военным действиям США и"
60,"поколение их отцов, появившихся на свет в результате известного послевоенного демографического"
61,"поколение «эха войны», появившееся на свет в «роковые» 1940-е годы."
62,"октября 1492 года, открыв Новый Свет, причалили испанские корабли."
63,"девятимерное, с большим числом «сторон света»."
64,"пылинки, пляшущей в луче солнечного света."
65,"Здесь столько сенсоров; они измеряют свет, шум, температуру, влажность и давление"
66,В таких зданиях свет льется со всех сторон — как
67,К истории открытия комбинационного рассеяния света
68,"мере в России, комбинационное рассеяние света было открыто в 1928 г"
69,"развернули экспериментальное изучение молекулярного рассеяния света в кристаллах и, в частности"
70,для себя обнаружили комбинационное рассеяние света — появление в спектре рассеянного света
71,"света — появление в спектре рассеянного света сателлитов с изменением частоты, на"
72,"что исследователи искали модуляцию рассеянного света акустической ветвью частот, а зарегистрировали"
73,"частот, а зарегистрировали модуляцию рассеянного света оптической ветвью частот."
74,"установке, результаты исследования комбинационного рассеяния света в кварце и исландском шпате"
75,что появление сателлитов при рассеянии света в кварце наблюдалось нами  (Ландсбергом
76,"описали изменение длины волны в свете, рассеянном некоторыми парами и жидкостями"
77,В свете неумолимо приближающихся выборов в Государственную
78,из самых необычных рыб на свете.
79,"рыбы поразительна: едва появившись на свет, морской конек успевает за первые"
80,"воспринимался москвичами как восьмое чудо света, постепенно ставшее самой привычной вещью"
81,Появление на свет первенца — часто долгожданного и выстраданного
82,"порой, лишь только появившись на свет."
83,за титул сильнейшей команды Старого Света.
84,"скороварок, глупо делать все на свете, вот не умеем же мы"
85,"что крупнее Паки нет на свете, пока тебя не увидала!"
86,"он расширился, и впереди появился свет."
87,"глаза и увидел, что бледный свет в конце пещеры померк."
88,Проводите больше времени при натуральном свете.
89,Представьте себе мерцающее фосфорическим светом змеевидное тело длиною в несколько
90,"того, чтобы захватывать отдельные частицы света — фотоны."
91,"период жили организмы, способные воспринимать свет."
92,"Оно различает свет, что жизненно важно для той"
93,"же эвглены, ведь без энергии света в ее организме не может"
94,пока случайно не попадали на свет.
95,же всегда плывет только на свет.
96,подобные пятна помогают скрываться от света в земле.
97,Свет падает лишь на верхнюю половину
98,"животному определить, где находится источник света."
99,орган зрения улавливает слишком мало света.
100,для самой известной японки на свете у них не найдется ни
101,"Так, в недавно вышедшей в свет на русском языке книге американского"
102,атмосферу и незабываемый «какой-то особенный свет» Зеленой Лампы.
103,"Шорох леса, лунный свет."
104,"Она была светом и счастьем моей жизни, и"
105,"От дневного света связанный Цербер рассвирепел, из всех"
106,на люминесцентные лампы (лампы дневного света) можно смотреть спокойно: они не
107,"21. 2. Источником какого света для нас являются сумерки, утренние"
108,"фигуру полого направить параллельный пучок света, то на стене (экране) появится"
109,плоское зеркало AB падает луч света под углом α = 25° (рис
110,тонкой собирающей линзы точечный источник света S и его изображение S
111,21. 45. Положения точечных источников света S и их изображений S
112,"через 3 с после вспышки света, а до второго — через 5"
113,15. Длина волны зеленого луча света в воздухе равна длине волны
114,и потенциал микроэлектроники в праздник света.
115,"ночной дискотеки, в голубоватом неоновом свете, потягивает POP через трубочку, — такой"
116,где я и появился на свет.
117,"эти и другие фигуры в свете современных политтехнологий, обеспеченных соответствующим финансированием"
118,"пусть даже самую пропрезидентскую на свете, считает политолог."
119,Наш завод рождался на свет совсем по другому сценарию.
120,Недавно вышла в свет научно-популярная книга Тома Кленси «Атомные
121,"Ахатову фактически вытаскивали с того света, партнеры по команде талантливо продолжили"
122,"такие разные вещи, как электрический свет, устная речь, письмо, дороги, числа"
123,несколько дней после появления на свет человек получает первый документ — свидетельство
124,"о том, будто на том свете исламских самоубийц ждут девственницы, в"
125,"больше», и рассылают по всему свету открытки с огромным кроликом, оседланным"
126,"линза с малой кривизной, источник света, карточки с заданиями; на столах"
127,"линза, ширма с прорезью, источник света, экран."
128,свет должен падать слева;
129,Вот теперь нету мамы на свете…
130,"Изложенное проливает свет на то обстоятельство, что прокуратура"
131,"или там «Гео» и «Вокруг света») из-за баснословной цены, сравнительно с"
132,пакетов нефтяных акций вышли на свет.
133,"наших несчастий», — огорошил весь белый свет советник Президента экономист Андрей Илларионов."
134,"и отступник, каких не видел свет, но, как ни в чем"
135,"к поверхности, пугая ядовитым зеленым светом."
136,на потолке » (т. е. верхний свет)
137,"Свет в зале притушили, и началось"
138,Славяно-греческий симбиоз в Византии в свете топонимии //
139,"шансы на медали, причем в свете кризиса ЦСКА — даже на золотые."
140,в ожидаемой дате конца старого света и начала новой эры.
141,"органы, сужает зрачок при сильном свете."
142,свое местонахождение в любой части света.
143,рецензия никогда бы не увидела свет…
144,телевидением и газетами обстановкой конца света (принципа «хорошая новость — не новость
145,"поскольку сегодня вообще дан зеленый свет тем объемам необходимых средств, которые"
146,"остановлена на 100%, перестанет гореть свет, не будут убирать мусор и"
147,"мнения, что не было на свете странствующих рыцарей."
148,которым доходит до ее обиталища свет от окружающих ее светил небесных».
149,"Планка, что в потоке умственного света, открывающегося взору физика, глаз человеческий"
150,"виденьем «Сна», — это восхождение к свету, и цитированные только что слова"
151,В свете изложенного не вызывает сомнения актуальность
152,"Хотя руководство лиги дало зеленый свет фармацевтической рекламе, оно ввело некоторые"
153,СЕРДАЛО» — ЗНАЧИТ СВЕТ.
154,"в подлинном смысле слова был светом для народа, в массе своей"
155,"и подробностями новые данные, проливающие свет на множество мучавших ученых проблем"
156,"хорошего роста им необходимы достаточный свет, полив и обычные садовые почвы."
157,среднем американце» на весь белый свет.
158,нефтяная рента — вот на чем свет клином сошелся в сегодняшней России.
159,законно» расторговывают наше добро по свету.
160,"реальность, и пошел гулять по свету очередной миф."
161,как вспыхивает красный или зеленый свет.
162,"лесных человечков, которые странствуют по свету."
163,"в то, что существует на свете добрый, понимающий Мурзилка."
164,получили подтверждение на другом конце света — в Финляндии.
165,"столько восхищались густыми лесами Нового Света, сколько использовали их для своих"
166,"На свете три столицы: Москва, Париж и"
167,этому ресурсу выделяться в выгодном свете.
168,"WWF, что завтра наступит конец света, если сегодня Россия не ратифицирует"
169,"выказала себя в своем истинном свете, обнаружила свою суть."
170,"всех правоохранительных органах края погаснет свет, а поближе к зиме перестанет"
171,"Свет в зале меркнет, и сквозь"
172,"карьера песчаник, собравший тепло и свет тысячелетий, освещает ее даже в"
173,"то, что проехал на красный свет светофора."
174,время матросы привезли в Старый Свет из только что открытого Нового
175,мили» знаменитые на весь Новый Свет гонщики Бриггс Каннингхем и Джим
176,"маму отказываться от всех на свете продуктов, нужно сделать соответствующие обследования"
177,"Она много разъезжает по свету, где выступая, где произнося зажигательные"
178,ряд лет не видел божьего света и вряд ли смог бы
179,"Правда, из-за недостатка света, а также от книжной пыли"
180,"лучшим футболистом, выступающим в Старом Свете."
181,И тут свет как бы немножечко гаснет.
182,"Это свет, освещающий все вокруг."
183,"Свет, в котором ты все видишь"
184,"в положенный срок произведя на свет дочку, через три месяца она"
185,В лучах света и клубах дыма настороженно двигались
186,"живопись» заменили два-три луча света, ползающих над танцорами."
187,остается самой непредсказуемой сборной Старого Света.
188,"не на жизнь, то на свет"
189,"предусматривает полного объема финансирования за свет и тепло и, вдобавок, слишком"
190,"Климин дрожащими руками извлек на свет головной убор: мех, золото, драгоценные"
191,Художник по свету Глеб Фильштинский — тоже из Петербурга.
192,"выход «подполья» из темноты на свет, его публичные откровения, его покаяние"
193,"чтоб меня не беспокоили, весь свет сейчас же за копейку продам"
194,"Свету ли провалиться, или вот мне"
195,"Я скажу, что свету провалиться, а чтоб мне чай"
196,"делать не мог: если выключить свет, родители заинтересуются, чем это я"
197,"что мало есть мест на свете, где можно с таким вкусом"
198,"Говорят, лучше спа на свете нет."
199,"дверь-тварь: внутренность хлынула кипящим светом, внешность, стягиваясь, устремилась вверх, как"
200,"и видела, как люди проникаются светом этого образа."
201,"В отличие от Нового Света, нравы на пляжах Италии по-прежнему"
202,"Термы, выход в свет"
203,"если уж и осталось на свете место, где повсеместно наблюдаются «ком"
204,"плохо, зато какие декорации и свет!"
205,и только одна шестая часть света как бы не существует.
206,"французского короля), Аллея в лунном свете»  (1987)"
207,"предгорий Южного Урала, пронизанные солнечным светом сосновые боры, удивительные пейзажи Дальнего"
208,"же очень нравится, как гаснет свет в салоне этой машины: медленно"
209,тому же во все стороны света торчат четыре антенны.
210,"к его скорейшему появлению на свет — и ФСБ, и МВД, и"
211,"Место, где свет. Машина времени."
212,еще одна теория о конце света
213,"науки, как теории о конце света."
214,"выбор проституток гораздо больше: неоновый свет сглаживает телесные изъяны, делая акцент"
215,"Во мне душа испорчена светом, воображение беспокойное, сердце ненасытное; мне"
216,мертвых… — никто не является на свет без слез…»
217,"Потом пустился я в большой свет, и общество мне также надоело"
218,"крушение веры, ибо с того света не возвращаются, и не потому"
219,"мультсериал «За 80 дней вокруг света», в котором один малосимпатичный персонаж"
220,В свете сказанного готовность президента Каспера и
221,художники по костюмам и по свету.
222,И есть же на свете чудовища!
223,"премия Аполлона Григорьева появилась на свет в конце 1997 года, ее"
224,"россиянки отставали от сборной Старого Света на одно-единственное очко, а"
225,мы придумали и запустили в свет две наши газеты: общественно-политический еженедельник
226,Книга воина света. Киев: София.
227,"предлагаю изготовить лекарство из лунного света, — сказала Фея Ночных Фиалок, — для"
228,"для этого надо собрать лунный свет в чашечку, поставить его в"
229,От лунного света ещё больше плакать хочется! — возразила
230,"вопросов, касающихся положения Калининграда в свете расширения ЕС."
231,сделали за неделю до конца света?
232,Свет в конце туннеля и хотя
233,"вперемежку с пылью и гас свет, у меня, как у лошади"
234,"ноту в гордом одиночестве, и свет гас."
235,"на сцену, от него исходил свет."
236,"в мягкую тишину и приглушенный свет ее парижской столовой, она посмотрела"
237,"же выставила нас в невыгоднейшем свете, как будто мы сначала пригласили"
238,Это тебе привет с того света — от Альфреда.
239,"минуты, что мы — одни на свете, что узы эти никогда не"
240,"бумагой, чтоб ни один луч света не проникал, так как он"
241,как он не переносит дневного света.
242,Положение ее во французском высшем свете очень высоко.
243,могут отправить тебя на тот свет».
244,"скрипку, какая только есть на свете!"
245,начнется после выхода книги в свет.
246,Яап Стам — после выхода в свет его книги был немедленно продан
247,"ipso facto более всего на свете лояльны стране своей мечты, а"
248,"В свете того, что ремкомплекты для этих"
249,"Свет осветил зал, когда на сцену"
250,чтобы ребенок не появился на свет.
251,Ирина зажигала свет.
252,"Попутешествовала на этом свете, и хватит."
253,Солнышко мягко сеяло свет сквозь листву.
254,"зрители смогут увидеть автомобильные чудеса света, а именно Lowrider Show — показ"
255,"длина 5, 75 метра) увидел свет в 1999 году, а прошлой"
256,Кто на свете всех богаче?
257,"3…, почти на краю света ."
258,родина — самое притягательное место на свете.
259,Часто выход в свет новой модели машины сопровождается выпуском
260,их рассказах все равно побеждает свет и не гаснет надежда.
261,"Откуда же этот свет, если и не в кромешной"
262,"Свет настоящий, живой, подлинный."
263,не все хочется вытаскивать на свет божий.
264,Свет Каргополя».
265,из самых вкусных стран на свете.
266,"истории ГАРРИ ПОТТЕРА выйдет в свет не осенью этого года, как"
267,Уже вышли в свет два первых тома «Московии».
268,"Но можно ли в свете изложенного утверждать, что за полтора"
269,"Погас свет в зале, и под песню"
270,когда наконец-то загорится зеленый свет для пешеходов.
271,"октября, когда должен появиться на свет ее первенец."
272,Машина остановилась на красный свет — и в этот момент к
273,"В следующую секунду зажегся зеленый свет, подросток вырвал руку и вместе"
274,"Выходила «в свет» она с ней редко, только"
275,"оборот ранее неизвестные источники, проливающие свет на начало и ход войны."
276,Сам выход в свет такой книги на русском языке
