,0
0,круг постепенно начнет приобретать форму чаши.
1,разногласия и мелкие стычки переполняют чашу терпения.
2,чтобы жизнь новобрачных была полной чашей; подруги невесты должны быть в
3,"Впрочем, чаша весов пока склоняется в пользу"
4,В холодном помещении на одной чаше весов находится сосуд с водой
5,8. 19. На левой чаше весов находится сосуд с водой
6,"какого веса и на какую чашу весов нужно положить, чтобы восстановить"
7,"какой массы и на какую чашу следует положить, чтобы привести весы"
8,8. 43. На левой чаше очень чувствительных весов находится открытый
9,На правую чашу весов положен груз из свинца
10,"На левую чашу этих весов положили тело, вес"
11,"равен 10 Н. На правую чашу положили тело, взвешенное теми же"
12,9. 12. На правой чаше чувствительных весов установлена вертикально тонкая
13,"На другой чаше находится груз, уравновешивающий весы."
14,"Последней каплей, переполнившей чашу моего терпения, стало топтание Михаила"
15,"перед нами символ — новая, научно-техническая чаша Грааля."
16,"традиционным формам древнерусской посуды: братины, чаши, поставки, ковши, кружки."
17,"зависимости от интерьера, определите цвет чаши."
18,Что лучше: керамическая или пластиковая чаша?
19,"Особенно выигрышно смотрятся большие керамические чаши на постаментах, правда, цена их"
20,Лично я использовала пластиковую чашу.
21,Кроме упомянутой чаши вам понадобится обычный керамический горшок
22,уже необходимо знать глубину основной чаши — горшок-постамент должен иметь такую
23,чтобы при его размещении в чаше фонтана он оказался бы чуть
24,На край чаши с помощью силиконового герметика можно
25,всю эту композицию опускают в чашу.
26,Заполните чашу водой и задекорируйте ее искусственной
27,Завоевание Чаши победы в Казахстане называют государственной
28,"вроде голубя, которого изображают на чаше."
29,"Золотые чаши находятся у вас, подставки к"
30,пока у меня не лопнула чаша терпения…
31,с другими прихожанами из одной Чаши общей лжицей.
32,"свою сестру, переполнила долгую-предолгую чашу папиного терпения."
33,"же, мгновенно положив на одну чашу весов ее справедливое неудовольствие, а"
34,Эта демонстрация силы переполнила чашу терпения Вашингтона: уже через месяц
35,"что мозг помещался, как в чаше, в своем природном ложе и"
36,"этой женщине до дна испить чашу страдания, до конца отмучиться за"
37,"вес золота, водружая на одну чашу весов ее увесистые тюки, на"
38,"стояли на посту у хрустальных чаш, девочка нервно подпрыгивала."
39,"мальчик и девочка, поменявшие хрустальные чаши на хрустальные колокольчики, и наяривают"
40,молодой листвы деревьев появляются крупные чаши пиона кавказского или кавахского своеобразного
41,"я осматривала амфитеатр внутри: гигантская чаша, на ступенях которой, расходящихся вверх"
42,Дно» огромной чаши-амфитеатра превратили в своеобразную сцену
43,этом амфитеатре естественная стереофоничность: огромная чаша и высокая стена наверху отражают
44,частью Тела Христова или взять чашу вина и ее сделать частью
45,веселый винограда позволяет нам три чаши…» — улыбнулся беспечно: подходящая норма — три
46,улыбнулся беспечно: подходящая норма — три чаши.
47,"поднес камер-юнкеру Пушкину ту самую чашу, какую тот в свое время"
48,"здесь, в Фалле, как символ чаши, которую пришлось испить и несчастному"
49,"Это, говорят, неважно, чаша терпения переполнилась."
50,"В общем, чаша терпения переполнилась."
51,не может миновать Меня эта чаша — пусть будет.
52,"Чаши, кувшины, зеркала, сбруя."
53,"что оставалось, верно, допивал из чаши."
54,"Так вот, что в чаше оставалось, то допивал, а так"
55,"казнью:  «Отче, да минет меня чаша сия», — все это мифы, но"
56,"все возможно Тебе, пронеси сию чашу мимо меня»."
57,"избавлении:  «Отец, да минует меня чаша сия»? Почему он не стерпел"
58,"тому, что в объемистой стеклянной чаше, наполненной белым сухим вином ай-даниль"
59,Мы почему-то замолкли перед опустевшей чашей крюшона.
60,"эта капля, как говорится, переполнила чашу ее терпения."
61,"этот смех был каплей, переполнившей чашу."
62,английской короны и не золотые чаши из Алмазного фонда.
63,"головой?), готовы ли вы пить чашу, которую Я буду пить?"
64,И все-таки чаша весов постепенно стала склоняться в
65,Хранитель чаши святого Грааля.
66,"горе свое до конца пережить, чашу свою хочу испить до конца."
67,"многоскорбной, страдальческой нашей человеческой земле чаша гнева, чаша скорби, чаша страдания"
68,"нашей человеческой земле чаша гнева, чаша скорби, чаша страдания человеческого доходит"
69,"земле чаша гнева, чаша скорби, чаша страдания человеческого доходит до краев"
70,"тут же, словно спохватилась, что чаша весов слишком явно перевесила в"
71,"ладонью, словно толкнула рукой другую чашу."
72,Господа выравнивают чаши европейских весов.
73,"апрельскую листву берез, из сладчайшей чаши ее пил он прелесть первой"
74,"натуре Ленина: вот на одной чаше весов божий мир, вот на"
75,"божий мир, вот на второй чаше партийное дело."
76,Чаша арестантского терпения может переполниться внезапно
77,ваша статья — последняя капля в чаше его многотерпения.
78,"своим черенком, переполнили, как говорится, чашу моего терпения, и я решил"
79,"Чаши или бокалы, сделанные из него"
80,"владели иезуиты, дарившие волшебные деревянные чаши королям, добиваясь от них пожертвований"
81,"Профессор вспомнил опубликованные опыты с чашей из почечного дерева, проделанные знаменитым"
82,явления голубого свечения налитой в чашу воды и тогда же отметившим
83,И опять померещилась ему чаша с темною жидкостью.
84,"головой игемона, птица метнулась к чаше фонтана и вылетела на волю."
